90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BEKASI,120.68,120.67,120.91,121.46,121.14,120.65,120.71,120.75,121.28,121.73,121.41,121.35,-,103.51,103.51,103.51,103.49,103.86,103.86,103.86,103.86,103.86,104.14,104.14,104.14,-,123.73,123.71,124.16,124.12,124.04,123.15,123.25,123.3,124.29,124.98,124.39,124.29,-,136.76,136.76,136.76,139.81,137.8,137.8,137.8,137.8,137.8,137.8,137.8,137.8,-,105.14,105.14,105.14,105.14,105.14,105.14,105.14,107.46,107.46,107.46,107.46,107.46,-
KOTA DEPOK,116.77,116.79,117.4,117.8,117.36,116.78,116.81,116.94,117.64,118.06,117.71,117.71,-,105.87,105.87,106.3,106.3,106.3,106.3,106.3,106.3,106.3,106.3,106.3,106.3,-,120.37,120.33,121.32,121.31,121.29,120.17,120.21,120.44,121.81,122.62,121.92,121.81,-,119.9,120.05,120.05,121.69,119.94,119.94,119.94,120.01,120.01,120.04,120.04,120.26,-,113.24,115.61,115.61,115.61,115.61,115.61,116.74,117,117,117,117,117,-
KOTA TASIKMALAYA,118.35,118.35,118.63,119.44,118.61,118.27,118.28,118.3,118.75,119.13,118.85,119.21,-,106.93,106.94,107.06,106.95,106.63,106.63,106.63,106.65,106.65,106.65,106.65,106.67,-,120.46,120.44,120.86,120.85,120.85,120.26,120.29,120.31,121.05,121.67,121.18,121.72,-,133.7,133.7,133.7,140.19,134.48,134.48,134.48,134.48,134.62,134.81,134.78,135.05,-,123.62,123.62,123.62,126.96,126.96,126.96,126.96,126.96,126.96,126.96,126.96,126.96,-
CILACAP,119.91,119.92,120.61,121.08,120.84,119.82,120.21,120.54,121.62,122.57,121.83,121.92,-,109.71,110.08,110.16,110.42,110.37,110.56,110.73,110.97,110.97,110.97,110.97,110.97,-,124.67,124.54,125.71,125.71,125.71,123.78,124.44,124.86,126.8,128.47,127.12,126.99,-,128.89,128.42,128.49,132.28,130.11,129.85,129.55,129.61,129.64,129.88,130.03,131.62,-,100,100.97,100.97,100.97,100.97,104.72,104.72,104.72,104.72,104.72,104.72,104.72,-
PURWOKERTO,125.06,125.05,125.64,126.39,125.84,125.06,125.15,125.14,125.99,126.73,126.14,126.37,-,112.51,113.06,113.15,113.51,113.87,114.16,114.43,114.43,114.43,114.43,114.43,114.43,-,130.02,129.97,130.94,131.01,130.92,129.33,129.36,129.39,130.99,132.28,131.15,131.05,-,134.54,133.5,133.8,137.75,133.71,133.49,133.38,133.26,133.26,133.63,133.69,135.58,-,100,100.82,100.82,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,-
KUDUS,118.87,119,119.69,120.03,119.83,119.01,119.21,119.27,120.35,121.19,120.44,120.4,-,111.17,111.48,111.61,111.68,112.05,112.75,113.26,113.28,113.28,113.28,113.28,113.28,-,123.42,123.5,124.55,124.56,124.55,122.9,122.96,123.05,124.75,126.1,124.9,124.79,-,112,111.64,111.33,117.96,111.23,111.03,111,110.94,111.22,111.28,111.28,111.92,-,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,-
KOTA SURAKARTA,119.21,119.48,120.51,120.52,120.02,119.38,119.79,119.57,120.36,121.09,120.78,121.09,-,106.64,106.92,106.92,107.02,107.29,107.31,107.32,107.37,107.41,107.41,107.42,107.42,-,125.16,125.2,125.92,125.96,125.95,124.69,124.75,124.79,126.06,127.07,126.25,126.37,-,119.66,121.07,126.22,125.81,120.93,121.83,124.96,122.78,122.95,124.09,125.63,127.59,-,119.48,119.48,119.48,119.48,119.48,119.48,119.48,119.48,119.48,119.48,119.48,119.48,-
KOTA SEMARANG,119.95,120.41,121.44,121.86,122.44,121.47,122.28,121.57,123.07,123.44,123.26,123.73,-,107.58,108.22,108.22,109.28,109.93,110.29,110.61,110.86,110.92,110.92,110.87,110.87,-,125.7,125.99,126.68,126.66,126.65,125.45,125.5,125.54,126.78,127.73,126.92,126.97,-,119.63,120.41,124.07,124.98,127.38,125.15,129.21,124.61,129.15,128.22,129.87,132.38,-,114.93,114.93,114.93,114.93,114.93,114.93,114.93,114.93,114.93,114.93,114.93,114.93,-
KOTA TEGAL,122.42,122.43,122.89,123.6,122.76,122.18,122.3,122.38,123,123.62,123.06,123.21,-,114.24,114.7,115.01,115.11,115.76,116.02,116.25,116.31,116.31,116.31,116.31,116.31,-,126.11,126.19,126.94,126.94,127.07,125.71,125.77,125.82,127.19,128.25,127.3,127.16,-,134.04,131.91,131.36,138.33,126.45,126.88,126.89,127.22,126.17,126.79,126.15,128.45,-,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,113.3,-
KOTA YOGYAKARTA,117.32,116.78,118.28,119.1,119.55,119.31,119.75,119.45,119.95,120.38,120.04,120.18,-,107.65,107.65,107.73,107.77,107.9,108.14,108.24,108.24,108.24,108.26,108.26,108.26,-,123.33,123.4,124.44,124.45,124.47,123.52,123.59,123.7,125.01,125.99,125.16,125.07,-,119.14,115.99,121.27,125.7,127.92,128.67,130.69,128.79,128.05,127.72,128.08,129.06,-,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,103.53,-
JEMBER,118.8,118.61,119.12,119.74,119.91,119.17,118.85,118.93,119.18,119.71,119.36,119.37,-,108.95,108.99,108.99,108.99,108.99,108.99,108.99,109.1,108.07,108.07,108.14,108.14,-,123.94,123.87,124.81,125.07,125.07,123.85,123.86,123.87,125.18,126.19,125.37,125.35,-,125.41,124.25,124.57,127.89,129,128.06,125.91,126.14,125.93,126.15,126.36,126.5,-,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,118.19,-
BANYUWANGI,115.26,114.81,115.05,115.39,115.42,114.64,114.67,114.68,116.13,116.61,115.94,117.1,-,116.25,116.25,116.25,116.25,116.38,116.38,116.9,116.9,119.01,119.01,118.33,120.1,-,113.8,113.72,114.37,114.36,114.36,113.42,113.49,113.5,114.68,115.58,114.81,114.92,-,121.39,116.01,114.71,119.07,118.86,115.3,112.56,112.56,112.73,112.73,112.73,118.35,-,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,-
SUMENEP,114,113.97,114.43,115.11,115.28,114.27,114.34,114.41,114.8,115.33,115.05,115.05,-,106.94,106.94,107.07,107.38,107.38,107.38,107.5,107.5,107.5,107.94,107.95,108,-,117.41,117.36,118.06,118.11,118.16,117.52,117.52,117.63,118.28,118.81,118.36,118.31,-,112.7,112.7,112.7,117.27,118.42,113.46,113.72,113.72,113.72,114.39,114.39,114.47,-,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,107.61,-
KOTA KEDIRI,118.11,118.08,118.35,119.32,119.26,118.82,118.87,119.01,119.55,119.92,119.61,119.64,-,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.65,106.65,106.65,106.72,-,122.57,122.52,122.95,122.95,123.12,122.4,122.41,122.43,123.16,123.76,123.25,123.2,-,125.04,125.04,125.04,135.85,134.02,134.02,134.56,135.77,136.42,136.36,136.36,136.87,-,100,100,100,100,100,100,100.31,109.6,110.44,110.44,110.44,111.23,-
